case	iteration	signal_to_exit_ms
signal_direct_pid1	1	0.624
signal_direct_pg	1	0.560
signal_direct_pg_init	1	0.508
signal_direct_pg_init_subreaper	1	0.411
signal_shell_script_pg	1	2.737
signal_shell_no_pg	1	0.164
signal_shell_pg	1	0.425
signal_shell_pg_init	1	0.422
signal_bash_pg	1	3.835
shutdown_grace_forced_kill	1	502.317
repeat_signal_direct_pg	1	0.422
repeat_signal_direct_pg	1	0.455
repeat_signal_direct_pg	1	0.429
repeat_signal_direct_pg	1	0.402
repeat_signal_direct_pg	1	0.597
repeat_signal_direct_pg	1	0.373
repeat_signal_direct_pg	1	0.894
repeat_signal_direct_pg	1	0.614
repeat_signal_direct_pg	1	0.462
repeat_signal_direct_pg	1	0.467
repeat_signal_direct_pg	1	0.454
repeat_signal_direct_pg	1	0.466
repeat_signal_direct_pg	1	0.431
repeat_signal_direct_pg	1	0.483
repeat_signal_direct_pg	1	1.689
repeat_signal_direct_pg	1	1.894
repeat_signal_direct_pg	1	7.326
repeat_signal_direct_pg	1	2.155
repeat_signal_direct_pg	1	0.828
repeat_signal_direct_pg	1	1.204
repeat_signal_direct_pg	1	0.403
repeat_signal_direct_pg	1	1.539
repeat_signal_direct_pg	1	0.575
repeat_signal_direct_pg	1	0.431
repeat_signal_direct_pg	1	0.476
repeat_signal_direct_pg	1	0.598
repeat_signal_direct_pg	1	0.423
repeat_signal_direct_pg	1	0.473
repeat_signal_direct_pg	1	0.468
repeat_signal_direct_pg	1	0.448
