case	iteration	zombies
zombie_scan_child_churn_10000	1	0
zombie_scan_child_churn_10000	2	0
zombie_scan_child_churn_10000	3	0
zombie_scan_child_churn_10000	4	0
zombie_scan_child_churn_10000	5	0
zombie_scan_child_churn_10000	6	0
zombie_scan_child_churn_10000	7	0
zombie_scan_child_churn_10000	8	0
zombie_scan_child_churn_10000	9	0
zombie_scan_child_churn_10000	10	0
zombie_scan_child_churn_10000	11	0
zombie_scan_child_churn_10000	12	0
zombie_scan_child_churn_10000	13	0
zombie_scan_child_churn_10000	14	0
zombie_scan_child_churn_10000	15	0
zombie_scan_child_churn_10000	16	0
zombie_scan_child_churn_10000	17	0
zombie_scan_child_churn_10000	18	0
zombie_scan_child_churn_10000	19	0
zombie_scan_child_churn_10000	20	0
zombie_scan_child_churn_10000	21	0
zombie_scan_child_churn_10000	22	0
zombie_scan_child_churn_10000	23	0
zombie_scan_child_churn_10000	24	0
zombie_scan_child_churn_10000	25	0
zombie_scan_child_churn_10000	26	0
zombie_scan_child_churn_10000	27	0
zombie_scan_child_churn_10000	28	container-exited
