sample	timestamp_ms	http_code	counter	attempt	exit_code
1	1784657723456.970	200	5	1	-1
2	1784657723545.935	200	5	1	-1
3	1784657723638.838	200	5	1	-1
4	1784657723734.028	200	5	1	-1
5	1784657723830.433	200	5	1	-1
6	1784657723932.935	200	5	1	17
7	1784657724035.913	200	5	1	17
8	1784657724125.337	200	5	1	17
9	1784657724223.497	000			
10	1784657724419.081	000			
11	1784657724516.499	000			
12	1784657724609.921	000			
13	1784657724698.111	000			
14	1784657724783.470	000			
15	1784657724867.802	000			
16	1784657724959.159	000			
17	1784657725063.803	000			
18	1784657725173.259	000			
19	1784657725319.433	000			
20	1784657725447.688	000			
21	1784657725538.409	000			
22	1784657725629.662	000			
23	1784657725716.258	000			
24	1784657725805.491	000			
25	1784657725904.770	000			
26	1784657726023.563	000			
27	1784657726114.068	000			
28	1784657726198.464	000			
29	1784657726319.807	000			
30	1784657726481.970	000			
31	1784657726570.218	000			
32	1784657726651.178	000			
33	1784657726743.378	000			
34	1784657726832.808	000			
35	1784657726935.150	000			
36	1784657727028.608	000			
37	1784657727129.402	000			
38	1784657727226.317	000			
39	1784657727335.373	000			
40	1784657727495.410	000			
41	1784657727587.785	000			
42	1784657727678.392	000			
43	1784657727770.791	000			
44	1784657727861.412	000			
45	1784657727952.983	000			
46	1784657728042.400	000			
47	1784657728132.110	000			
48	1784657728222.548	000			
49	1784657728318.656	000			
50	1784657728539.754	000			
51	1784657728631.635	000			
52	1784657728722.116	000			
53	1784657728815.105	000			
54	1784657728904.963	000			
55	1784657728989.690	000			
56	1784657729085.195	000			
57	1784657729171.256	000			
58	1784657729282.261	000			
59	1784657729416.371	000			
60	1784657729580.403	000			
61	1784657729683.033	000			
62	1784657729802.299	000			
63	1784657729901.728	000			
64	1784657729993.540	000			
65	1784657730093.897	000			
66	1784657730186.769	000			
67	1784657730276.000	000			
68	1784657730380.072	000			
69	1784657730598.268	000			
70	1784657730687.051	000			
71	1784657730777.960	000			
72	1784657730867.440	000			
73	1784657730959.254	000			
74	1784657731050.012	000			
75	1784657731150.233	000			
76	1784657731246.234	000			
77	1784657731334.370	000			
78	1784657731440.757	000			
79	1784657731647.241	000			
80	1784657731741.812	000			
81	1784657731833.583	000			
82	1784657731922.138	000			
83	1784657732015.674	000			
84	1784657732106.252	000			
85	1784657732206.342	000			
86	1784657732296.243	000			
87	1784657732389.442	000			
88	1784657732484.547	000			
89	1784657732676.472	000			
90	1784657732775.383	000			
91	1784657732864.800	000			
92	1784657732952.574	000			
93	1784657733047.845	000			
94	1784657733136.358	000			
95	1784657733240.530	000			
96	1784657733339.899	000			
97	1784657733436.748	000			
98	1784657733535.023	000			
99	1784657733740.906	000			
100	1784657733832.575	000			
101	1784657733918.719	000			
102	1784657734007.022	000			
103	1784657734095.392	000			
104	1784657734183.298	000			
105	1784657734278.114	000			
106	1784657734365.780	000			
107	1784657734464.703	000			
108	1784657734575.676	000			
109	1784657734775.462	000			
110	1784657734866.328	000			
111	1784657734955.667	000			
112	1784657735042.051	000			
113	1784657735128.645	000			
114	1784657735219.232	000			
115	1784657735308.674	000			
116	1784657735406.431	000			
117	1784657735501.882	000			
118	1784657735603.684	000			
119	1784657735820.771	000			
120	1784657735910.128	000			
121	1784657736005.017	000			
122	1784657736101.173	000			
123	1784657736196.913	000			
124	1784657736292.873	000			
125	1784657736426.125	000			
126	1784657736563.275	000			
127	1784657736677.145	000			
128	1784657736805.338	000			
129	1784657736943.347	000			
130	1784657737034.905	000			
131	1784657737121.696	000			
132	1784657737204.552	000			
133	1784657737298.135	000			
134	1784657737390.887	000			
135	1784657737479.250	000			
136	1784657737570.717	000			
137	1784657737668.479	000			
138	1784657737882.294	000			
139	1784657737971.224	000			
140	1784657738063.859	000			
141	1784657738150.332	000			
142	1784657738240.138	000			
143	1784657738329.659	000			
144	1784657738423.006	000			
145	1784657738506.960	000			
146	1784657738597.747	000			
147	1784657738695.651	000			
148	1784657738888.947	000			
149	1784657738979.676	000			
150	1784657739072.044	000			
