iteration	duration_ms	exit_code	result
1	6547.394	0	pass
2	4274.080	0	pass
3	4776.918	0	pass
4	4876.714	0	pass
5	4635.312	0	pass
6	4640.755	0	pass
7	5298.965	0	pass
8	4564.748	0	pass
9	5012.547	0	pass
10	4647.548	0	pass
11	6166.546	0	pass
12	5142.922	0	pass
13	5532.647	0	pass
14	5432.283	0	pass
15	4677.251	0	pass
16	5512.022	0	pass
17	5437.107	0	pass
18	5829.528	0	pass
19	4944.467	0	pass
20	5439.782	0	pass
21	4764.859	0	pass
22	5466.338	0	pass
23	5396.528	0	pass
24	4849.116	0	pass
25	5342.394	0	pass
26	5857.863	0	pass
27	4907.759	0	pass
28	5082.429	0	pass
29	5509.252	0	pass
30	6280.791	0	pass
