filesystem	strategy	interval_ms	duration_ms	cpu_ms	cpu_percent	reads	parse_errors
layer	poll	10ms	5000.945	239.044	4.780	500	0
layer	poll	100ms	5002.078	28.417	0.568	51	0
layer	poll	1s	5001.567	3.733	0.075	6	0
layer	inotify	1s	5050.712	18.360	0.364	1	0
layer	hybrid	100ms	5053.597	39.092	0.774	50	0
layer	hybrid	1s	5050.012	22.141	0.438	5	0
tmpfs	poll	10ms	5000.438	254.277	5.085	500	0
tmpfs	poll	100ms	5002.299	24.513	0.490	51	0
tmpfs	poll	1s	5001.833	3.838	0.077	6	0
tmpfs	inotify	1s	5050.301	18.134	0.359	1	0
tmpfs	hybrid	100ms	5049.980	37.623	0.745	50	0
tmpfs	hybrid	1s	5053.055	21.255	0.421	5	0
volume	poll	10ms	5000.696	224.852	4.496	500	0
volume	poll	100ms	5000.759	22.726	0.454	50	0
volume	poll	1s	5001.440	3.857	0.077	6	0
volume	inotify	1s	5053.856	18.127	0.359	1	0
volume	hybrid	100ms	5005.263	40.890	0.817	50	0
volume	hybrid	1s	5049.551	20.286	0.402	5	0
